IBI,HR,NO2,Noise,NH3,PM10,CO,PM25,Label,PM1,EDA,BVP
0,0.50023717,0.117921164,0.517303837,0.118854693,0.68,0.831757576,0.272317881,5,0.272317881,0,0
0,0.503196576,0.117921164,0.524925621,0.119458329,0.652803532,0.835151515,0.261810155,5,0.261810155,0,0
0,0.506274318,0.117921164,0.532547404,0.120061965,0.625607064,0.838545455,0.251302428,5,0.251302428,0,0
0,0.510291791,0.117921164,0.540169188,0.120665601,0.598410596,0.841939394,0.240794702,5,0.240794702,0,0
0,0.512893204,0.117921164,0.547790972,0.121269237,0.571214128,0.845333333,0.230286976,5,0.230286976,0,0
0,0.511227875,0.117921164,0.555412756,0.121872873,0.54401766,0.848727273,0.219779249,5,0.219779249,0,0
0,0.511612883,0.117921164,0.56303454,0.122476509,0.516821192,0.852121212,0.209271523,5,0.209271523,0,0
0,0.512415714,0.117921164,0.570656324,0.123080145,0.489624724,0.855515152,0.198763797,5,0.198763797,0,0
0,0.512675093,0.117921164,0.578278108,0.123683781,0.462428256,0.858909091,0.188256071,5,0.188256071,0,0
0,0.511758566,0.117921164,0.585899892,0.124287417,0.435231788,0.86230303,0.177748344,5,0.177748344,0,0
0,0.508864792,0.117921164,0.593521676,0.124891053,0.40803532,0.86569697,0.167240618,5,0.167240618,0,0
0,0.50578705,0.117921164,0.60114346,0.125494689,0.380838852,0.869090909,0.156732892,5,0.156732892,0,0
0,0.503455126,0.117921164,0.608765243,0.126098325,0.353642384,0.872484848,0.146225166,5,0.146225166,0,0
0,0.500080383,0.117921164,0.616387027,0.126701961,0.326445916,0.875878788,0.135717439,5,0.135717439,0,0
0,0.496592275,0.117921164,0.624008811,0.127305597,0.299249448,0.879272727,0.125209713,5,0.125209713,0,0
0,0.491616509,0.117921164,0.631630595,0.127909233,0.27205298,0.882666667,0.114701987,5,0.114701987,0,0
0,0.485000607,0.117921164,0.639252379,0.128512869,0.244856512,0.886060606,0.10419426,5,0.10419426,0,0
0,0.478786451,0.117921164,0.646874163,0.129116505,0.217660044,0.889454545,0.093686534,5,0.093686534,0,0
0,0.473001887,0.117921164,0.654495947,0.129720141,0.190463576,0.892848485,0.083178808,5,0.083178808,0,0
0,0.467442063,0.117921164,0.662117731,0.130323777,0.163267108,0.896242424,0.072671082,5,0.072671082,0,0
0,0.461902127,0.117921164,0.669739515,0.130927413,0.13607064,0.899636364,0.062163355,5,0.062163355,0,0
0,0.457471969,0.117921164,0.677361299,0.131531049,0.108874172,0.903030303,0.051655629,5,0.051655629,0,0
0,0.452423941,0.117921164,0.684983082,0.132134685,0.081677704,0.906424242,0.041147903,5,0.041147903,0,0
0,0.447479003,0.117921164,0.692604866,0.132738321,0.054481236,0.909818182,0.030640177,5,0.030640177,0,0
0,0.441447822,0.117921164,0.70022665,0.133341957,0.027284768,0.913212121,0.02013245,5,0.02013245,0,0
0,0.436029537,0.117921164,0.703070961,0.134795611,0.015275938,0.915636364,0.015275938,5,0.015275938,0,0
0,0.429958247,0.117921164,0.700514649,0.137210155,0.014657837,0.917333333,0.014657837,5,0.014657837,0,0
0,0.424722605,0.117921164,0.697958336,0.139624699,0.014039735,0.919030303,0.014039735,5,0.014039735,0,0
0,0.420144443,0.117921164,0.695402024,0.142039242,0.013421634,0.920727273,0.013421634,5,0.013421634,0,0
0,0.415079511,0.117921164,0.692845712,0.144453786,0.012803532,0.922424242,0.012803532,5,0.012803532,0,0
0,0.408665642,0.117921164,0.6902894,0.14686833,0.01218543,0.924121212,0.01218543,5,0.01218543,0,0
0,0.404116153,0.117921164,0.687733088,0.149282874,0.011567329,0.925818182,0.011567329,5,0.011567329,0,0
0,0.397243357,0.117921164,0.685176776,0.151697418,0.010949227,0.927515152,0.010949227,5,0.010949227,0,0
0,0.391159803,0.117921164,0.682620464,0.154111962,0.010331126,0.929212121,0.010331126,5,0.010331126,0,0
